epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
55,118.577,0.31,0.36415,0.50466,0.87054,0,0.9958,1,0.995,0.98633,0.9958,1,0.995,0.995,0.26858,0.30369,0.34234,0.91478,0,0.0006635,0.0006635,0.0006635
56,120.941,0.31452,0.34319,0.48485,0.85908,0,0.99579,1,0.995,0.987,0.99579,1,0.995,0.987,0.2386,0.29018,0.32678,0.90546,0,0.00063875,0.00063875,0.00063875
57,123.457,0.32287,0.39678,0.48845,0.84954,0,0.99587,1,0.995,0.995,0.99587,1,0.995,0.995,0.24479,0.29287,0.31904,0.90905,0,0.000614,0.000614,0.000614
58,125.956,0.32881,0.4054,0.47281,0.8654,0,0.99593,1,0.995,0.9725,0.99593,1,0.995,0.995,0.25708,0.32584,0.32932,0.91311,0,0.00058925,0.00058925,0.00058925
59,128.714,0.34691,0.39076,0.48705,0.88407,0,0.99593,1,0.995,0.9725,0.99593,1,0.995,0.995,0.25708,0.32584,0.32932,0.91311,0,0.0005645,0.0005645,0.0005645
60,131.242,0.34002,0.37438,0.47284,0.85905,0,0.99599,1,0.995,0.93983,0.99599,1,0.995,0.995,0.23494,0.33666,0.34604,0.90981,0,0.00053975,0.00053975,0.00053975
61,133.592,0.33144,0.41253,0.4594,0.87385,0,0.99595,1,0.995,0.93983,0.99595,1,0.995,0.96508,0.22531,0.3264,0.32805,0.90901,0,0.000515,0.000515,0.000515
62,136.151,0.30561,0.36639,0.45869,0.88106,0,0.99597,1,0.995,0.95137,0.99597,1,0.995,0.995,0.23165,0.30309,0.33528,0.91005,0,0.00049025,0.00049025,0.00049025
63,138.389,0.32513,0.40343,0.44637,0.86296,0,0.99597,1,0.995,0.95137,0.99597,1,0.995,0.995,0.23165,0.30309,0.33528,0.91005,0,0.0004655,0.0004655,0.0004655
64,141.142,0.3207,0.35709,0.45016,0.86763,0,0.99597,1,0.995,0.98142,0.99597,1,0.995,0.995,0.22284,0.29395,0.31675,0.90949,0,0.00044075,0.00044075,0.00044075
65,143.916,0.30038,0.39371,0.45037,0.85072,0,0.99593,1,0.995,0.98142,0.99593,1,0.995,0.995,0.22264,0.31181,0.30727,0.90916,0,0.000416,0.000416,0.000416
66,146.033,0.3151,0.38255,0.44671,0.86054,0,0.99592,1,0.995,0.98008,0.99592,1,0.995,0.995,0.22633,0.31563,0.32131,0.90825,0,0.00039125,0.00039125,0.00039125
67,148.45,0.281,0.34305,0.43752,0.85624,0,0.99592,1,0.995,0.98008,0.99592,1,0.995,0.995,0.22633,0.31563,0.32131,0.90825,0,0.0003665,0.0003665,0.0003665
68,151.705,0.31179,0.36921,0.45086,0.84323,0,0.99591,1,0.995,0.98008,0.99591,1,0.995,0.995,0.22226,0.29893,0.31729,0.90651,0,0.00034175,0.00034175,0.00034175
69,155.696,0.31121,0.39561,0.44175,0.83526,0,0.99591,1,0.995,0.98008,0.99591,1,0.995,0.995,0.21541,0.29487,0.30579,0.90588,0,0.000317,0.000317,0.000317
70,159.528,0.29825,0.38718,0.42495,0.85973,0,0.99594,1,0.995,0.98008,0.99594,1,0.995,0.995,0.21853,0.29784,0.30602,0.90689,0,0.00029225,0.00029225,0.00029225
71,163.294,0.22369,0.27697,0.66886,0.77938,0,0.99594,1,0.995,0.98008,0.99594,1,0.995,0.995,0.21853,0.29784,0.30602,0.90689,0,0.0002675,0.0002675,0.0002675
72,166.584,0.21972,0.30393,0.657,0.79403,0,0.99594,1,0.995,0.98008,0.99594,1,0.995,0.995,0.21321,0.31105,0.32185,0.9064,0,0.00024275,0.00024275,0.00024275
73,169.916,0.20146,0.29106,0.60912,0.78494,0,0.99587,1,0.995,0.987,0.99587,1,0.995,0.995,0.1995,0.32374,0.34207,0.90393,0,0.000218,0.000218,0.000218
74,173.598,0.1961,0.26365,0.61348,0.7708,0,0.9958,1,0.995,0.987,0.9958,1,0.995,0.995,0.18227,0.33125,0.3631,0.90013,0,0.00019325,0.00019325,0.00019325
75,177.146,0.22081,0.28675,0.64924,0.78538,0,0.9958,1,0.995,0.987,0.9958,1,0.995,0.995,0.18227,0.33125,0.3631,0.90013,0,0.0001685,0.0001685,0.0001685
76,180.544,0.19549,0.27471,0.63579,0.77373,0,0.99575,1,0.995,0.987,0.99575,1,0.995,0.995,0.17383,0.32907,0.36302,0.8968,0,0.00014375,0.00014375,0.00014375
77,183.988,0.19832,0.27395,0.61786,0.76273,0,0.99586,1,0.995,0.987,0.99586,1,0.995,0.995,0.17508,0.32245,0.35425,0.89543,0,0.000119,0.000119,0.000119
78,186.961,0.19689,0.27256,0.62605,0.78987,0,0.99585,1,0.995,0.987,0.99585,1,0.995,0.995,0.17666,0.31698,0.33822,0.8958,0,9.425e-05,9.425e-05,9.425e-05
79,189.455,0.18763,0.27692,0.61169,0.75697,0,0.99585,1,0.995,0.987,0.99585,1,0.995,0.995,0.17666,0.31698,0.33822,0.8958,0,6.95e-05,6.95e-05,6.95e-05
80,192.333,0.19925,0.27637,0.62073,0.79181,0,0.99593,1,0.995,0.987,0.99593,1,0.995,0.995,0.17688,0.31691,0.32345,0.89654,0,4.475e-05,4.475e-05,4.475e-05
