epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,749.154,0.75808,0.5295,0.91605,0.91871,0.93175,0.92264,0.61143,0.82376,0.47396,0.96935,0.000528058,0.000528058,0.000528058
55,768.725,0.76903,0.53199,0.92684,0.91232,0.92084,0.92117,0.61901,0.81823,0.47281,0.95758,0.000517059,0.000517059,0.000517059
56,788.186,0.75115,0.52181,0.90941,0.94633,0.87187,0.91614,0.61682,0.78014,0.48333,0.94641,0.00050606,0.00050606,0.00050606
57,808.418,0.76443,0.52123,0.91335,0.89353,0.93539,0.92178,0.60629,0.81293,0.4858,0.9504,0.000495062,0.000495062,0.000495062
58,827.79,0.74939,0.52762,0.9139,0.87726,0.9116,0.92633,0.62402,0.8152,0.4721,0.95292,0.000484063,0.000484063,0.000484063
59,848.586,0.72591,0.50693,0.90457,0.93141,0.92597,0.93275,0.61559,0.80566,0.46547,0.94919,0.000473064,0.000473064,0.000473064
60,868.146,0.75284,0.52209,0.92178,0.9475,0.89979,0.92123,0.61109,0.80333,0.46782,0.94803,0.000462065,0.000462065,0.000462065
61,887.752,0.76767,0.52619,0.90952,0.85872,0.92194,0.88809,0.60762,0.79779,0.472,0.94895,0.000451066,0.000451066,0.000451066
62,907.444,0.77428,0.52468,0.92353,0.8834,0.90987,0.91593,0.61656,0.79986,0.46084,0.95218,0.000440067,0.000440067,0.000440067
63,928.201,0.73772,0.49834,0.90186,0.9149,0.90317,0.92391,0.61821,0.82117,0.45669,0.95609,0.000429068,0.000429068,0.000429068
64,947.156,0.71649,0.48776,0.91267,0.94457,0.89943,0.92539,0.62849,0.80442,0.43968,0.94879,0.000418069,0.000418069,0.000418069
65,967.261,0.72643,0.49351,0.91558,0.93334,0.91703,0.9263,0.63929,0.83244,0.45481,0.95801,0.00040707,0.00040707,0.00040707
66,984.478,0.75203,0.49761,0.90913,0.92688,0.92686,0.92077,0.61029,0.82588,0.45077,0.95601,0.000396071,0.000396071,0.000396071
67,1002.31,0.72611,0.48833,0.90881,0.92631,0.92687,0.91508,0.62437,0.8152,0.44817,0.95461,0.000385073,0.000385073,0.000385073
68,1017.72,0.72174,0.49297,0.91342,0.95824,0.95097,0.96268,0.64361,0.78385,0.44147,0.94501,0.000374074,0.000374074,0.000374074
69,1030.48,0.72501,0.48516,0.90684,0.91621,0.91517,0.9281,0.64355,0.78103,0.44967,0.9489,0.000363075,0.000363075,0.000363075
70,1044.64,0.72501,0.48452,0.89764,0.89396,0.85893,0.90518,0.62669,0.80631,0.45681,0.95612,0.000352076,0.000352076,0.000352076
71,1055.86,0.7339,0.49338,0.91095,0.89486,0.86105,0.89544,0.61632,0.79047,0.44735,0.95059,0.000341077,0.000341077,0.000341077
72,1066.42,0.69196,0.46735,0.88999,0.90826,0.86349,0.89655,0.62828,0.79077,0.45873,0.9549,0.000330078,0.000330078,0.000330078
73,1083.18,0.71317,0.47059,0.88781,0.91612,0.85441,0.90282,0.62055,0.76967,0.43649,0.94798,0.000319079,0.000319079,0.000319079
74,1096.09,0.7309,0.4851,0.90879,0.92154,0.84916,0.91441,0.63455,0.79486,0.45732,0.95679,0.00030808,0.00030808,0.00030808
