epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
65,936.087,0.21204,0.24781,0.17748,0.83996,0,0.98248,1,0.98483,0.97455,0.98248,1,0.98483,0.98218,0.14879,0.2317,0.13749,0.88169,0,0.000416,0.000416,0.000416
66,950.202,0.20524,0.26515,0.18262,0.836,0,0.98249,1,0.98067,0.96843,0.98249,1,0.98067,0.98067,0.15122,0.21455,0.1341,0.88039,0,0.00039125,0.00039125,0.00039125
67,966.893,0.2202,0.26259,0.1819,0.83965,0,0.98249,1,0.98433,0.97383,0.98249,1,0.98433,0.98433,0.16033,0.23463,0.13667,0.88193,0,0.0003665,0.0003665,0.0003665
68,982.383,0.21903,0.26397,0.182,0.83548,0,0.98249,1,0.98183,0.97218,0.98249,1,0.98183,0.98183,0.15796,0.21882,0.15321,0.88183,0,0.00034175,0.00034175,0.00034175
69,995.478,0.20617,0.26209,0.17081,0.83838,0,0.98248,1,0.99083,0.98017,0.98248,1,0.99083,0.98886,0.13828,0.21899,0.12937,0.88006,0,0.000317,0.000317,0.000317
70,1007.25,0.19226,0.24756,0.17041,0.83826,0,0.98247,1,0.9815,0.96705,0.98247,1,0.9815,0.9815,0.14643,0.22719,0.13518,0.88002,0,0.00029225,0.00029225,0.00029225
71,1018.35,0.1405,0.20185,0.15011,0.77355,0,0.9823,1,0.98033,0.96879,0.9823,1,0.98033,0.98033,0.144,0.2248,0.13932,0.87999,0,0.0002675,0.0002675,0.0002675
72,1028.6,0.14851,0.19979,0.14586,0.77615,0,0.98154,1,0.9835,0.97318,0.98154,1,0.9835,0.9835,0.14758,0.21593,0.15022,0.8809,0,0.00024275,0.00024275,0.00024275
73,1038.97,0.14507,0.19721,0.15202,0.78475,0,0.98199,1,0.98267,0.97337,0.98199,1,0.98267,0.98267,0.14235,0.22432,0.13549,0.88076,0,0.000218,0.000218,0.000218
74,1054.55,0.14794,0.19747,0.14583,0.76284,0,0.98181,1,0.9855,0.97983,0.98181,1,0.9855,0.9855,0.15721,0.22228,0.17006,0.87983,0,0.00019325,0.00019325,0.00019325
75,1075.12,0.14486,0.1948,0.14275,0.78614,0,0.98194,1,0.98317,0.97709,0.98194,1,0.98317,0.98317,0.16404,0.22257,0.14912,0.88136,0,0.0001685,0.0001685,0.0001685
76,1094.85,0.13787,0.19169,0.13892,0.78294,0,0.98216,1,0.981,0.97206,0.98216,1,0.981,0.981,0.14684,0.22003,0.14362,0.88054,0,0.00014375,0.00014375,0.00014375
77,1107.75,0.14211,0.19133,0.13851,0.77756,0,0.98215,1,0.99167,0.98658,0.98215,1,0.99167,0.99167,0.13965,0.22143,0.13153,0.88018,0,0.000119,0.000119,0.000119
78,1121.5,0.13609,0.1927,0.1299,0.76143,0,0.98214,1,0.99283,0.98745,0.98214,1,0.99283,0.99283,0.13983,0.21685,0.13542,0.87874,0,9.425e-05,9.425e-05,9.425e-05
79,1135.04,0.13017,0.19211,0.13241,0.76703,0,0.98227,1,0.9945,0.98818,0.98227,1,0.9945,0.9945,0.13343,0.21715,0.1316,0.8794,0,6.95e-05,6.95e-05,6.95e-05
80,1149.14,0.12862,0.19113,0.12338,0.76801,0,0.98234,1,0.97983,0.97142,0.98234,1,0.97983,0.97983,0.13302,0.21751,0.13049,0.87936,0,4.475e-05,4.475e-05,4.475e-05
